tabellaria           , little---a           , 0.8181818181818182, 0.3 
googol100            , nadanadora           , 0.3, 0.85 
chesscarl            , angel2006            , 0.8571428571428571, 0.55 
evianwahter          , saviter              , 0.8235294117647058, 0.375 
christina-a-11       , mouhieddine          , 0.8181818181818182, 0.5238095238095238 
christina-a-11       , philosophorum        , 0.8387096774193549, 0.4666666666666667 
christina-a-11       , valerioneto          , 0.9285714285714286, 0.23076923076923078 
e_t123               , christina-a-11       , 0.4090909090909091, 0.8181818181818182 
christina-a-11       , e_t123               , 0.8235294117647058, 0.375 
s-a                  , jupitrer             , 0.8333333333333334, 0.5454545454545454 
verduzzo             , skuppam3             , 0.9090909090909091, 0.5 
neilgally            , minecraftbook        , 0.4, 0.8 
hasan_al-banna       , kreatonn             , 0.6923076923076923, 0.8333333333333334 
nik99                , roman_kauttpshbtku   , 0.9230769230769231, 0.0 
mauornelas           , shijima220           , 0.9, 0.5555555555555556 
mauornelas           , shijima220           , 0.8235294117647058, 0.29411764705882354 
gourang              , goldenfox99          , 0.9090909090909091, 0.3 
valeriy56            , dsom1234             , 0.8, 0.5555555555555556 
doraemon61           , hisokaxhunter        , 0.8, 0.2857142857142857 
doraemon61           , keongracun           , 0.8461538461538461, 0.16666666666666666 
jfroysa              , sansthecomic         , 0.15384615384615385, 0.9166666666666666 
nokeiz               , cooldude1200         , 0.8, 0.3333333333333333 
maratderb            , dsom                 , 0.8, 0.3333333333333333 
hus1972              , dinooni              , 0.9473684210526315, 0.5 
giledo               , hus1972              , 0.3076923076923077, 0.8461538461538461 
hus1972              , enmerkar             , 0.9090909090909091, 0.2 
theanimal1990        , hus1972              , 0.47619047619047616, 0.85 
forza1234            , meccanoidg15         , 0.45, 0.8421052631578947 
sasha046             , gmanderson           , 0.6666666666666666, 0.8333333333333334 
gmanderson           , dlvillela            , 0.9375, 0.2 
jfthechessmaster     , gmanderson           , 0.8115942028985508, 0.7971014492753623 
anirbanplus          , rps_1899             , 0.4666666666666667, 0.8666666666666667 
rps_1899             , jtg2016              , 0.8, 0.35 
